Test Case,Device,Renderer,Sample No.,Frame Intervals (ms),,,,Frame Rate,,Label,,
,,,3,2,13,11,5.639,177.34,,Laptop - Multi-Pass,,
4 - Occuded Room,Desktop,Multi-Pass,1,,,0,,?,,Desktop - Multi-Pass,,
,,,2,,,0,,?,,Desktop - Multi-Pass,,
,,,3,,,0,,?,,Desktop - Multi-Pass,,
4 - Occuded Room,Laptop,Layered-Compose,1,2,11,9,5.129,194.97,,Laptop - Layered-Compose,,
,,,2,3,9,6,5.127,195.05,,Laptop - Layered-Compose,,< - strange. may be the culling carrying the effect.
,,,3,2,10,8,5.113,195.58,,Laptop - Layered-Compose,,
4 - Occuded Room,Desktop,Layered-Compose,1,,,0,,?,,Desktop - Layered-Compose,,
,,,2,,,0,,?,,Desktop - Layered-Compose,,
,,,3,,,0,,?,,Desktop - Layered-Compose,,
5 - Background,Laptop,Naive,1,0,6,6,2.119,471.92,,Laptop - Naive,,<- 0ms due to limited accuracy from language
,,,2,0,7,7,2.116,472.59,,Laptop - Naive,,
,,,3,0,7,7,2.145,466.20,,Laptop - Naive,,
5 - Background,Desktop,Naive,1,,,0,,?,,Desktop - Naive,,
,,,2,,,0,,?,,Desktop - Naive,,
,,,3,,,0,,?,,Desktop - Naive,,
5 - Background,Laptop,Multi-Pass,1,1,8,7,3.486,286.86,,Laptop - Multi-Pass,,
,,,2,1,8,7,3.505,285.31,,Laptop - Multi-Pass,,
,,,3,1,7,6,3.493,286.29,,Laptop - Multi-Pass,,
5 - Background,Desktop,Multi-Pass,1,,,0,,?,,Desktop - Multi-Pass,,
,,,2,,,0,,?,,Desktop - Multi-Pass,,
,,,3,,,0,,?,,Desktop - Multi-Pass,,
5 - Background,Laptop,Layered-Compose,1,4,10,6,6.612,151.24,,Laptop - Layered-Compose,,
,,,2,4,10,6,6.634,150.74,,Laptop - Layered-Compose,,
,,,3,3,11,8,6.639,150.63,,Laptop - Layered-Compose,,
5 - Background,Desktop,Layered-Compose,1,,,0,,?,,Desktop - Layered-Compose,,
,,,2,,,0,,?,,Desktop - Layered-Compose,,
,,,3,,,0,,?,,Desktop - Layered-Compose,,
6 - Stress Test,Laptop,Naive,1,2,12,10,6.833,146.35,,Laptop - Naive,<- 33 is the hardware limit. 34 starts breaking geometry,
,,,2,3,13,10,6.841,146.18,,Laptop - Naive,impressive that geometry shaders break before the performance becomes unusable,
,,,3,2,13,11,6.858,145.82,,Laptop - Naive,could run a 144hz monitor on this shi,
6 - Stress Test,Desktop,Naive,1,,,0,,?,,Desktop - Naive,,
,,,2,,,0,,?,,Desktop - Naive,,
,,,3,,,0,,?,,Desktop - Naive,,
6 - Stress Test,Laptop,Multi-Pass,1,10,17,7,12.871,77.69,,Laptop - Multi-Pass,,
,,,2,5,25,20,12.897,77.54,,Laptop - Multi-Pass,STILL INCREDIBLY USABLE??,
,,,3,8,21,13,13.107,76.30,,Laptop - Multi-Pass,,
6 - Stress Test,Desktop,Multi-Pass,1,,,0,,?,,Desktop - Multi-Pass,,
,,,2,,,0,,?,,Desktop - Multi-Pass,,
,,,3,,,0,,?,,Desktop - Multi-Pass,,
6 - Stress Test,Laptop,Layered-Compose,1,21,35,14,25.74,38.85,,Laptop - Layered-Compose,,
,,,2,24,33,9,25.718,38.88,,Laptop - Layered-Compose,,
,,,3,23,31,8,25.697,38.92,,Laptop - Layered-Compose,,
6 - Stress Test,Desktop,Layered-Compose,1,,,0,,?,,Desktop - Layered-Compose,,
,,,2,,,0,,?,,Desktop - Layered-Compose,,
,,,3,,,0,,?,,Desktop - Layered-Compose,,
